更新时间,#genre#
CCTV-8电视剧,http://171.8.84.159:8800/rtp/239.16.20.8:10080$河南电信
CCTV-9纪录,http://144.255.44.144:7788/rtp/239.21.1.153:5002$山东电信
CCTV-9纪录,http://223.10.214.111:6000/rtp/239.1.1.16:8016$山西电信
CCTV-9纪录,http://171.8.84.159:8800/rtp/239.16.20.9:10090$河南电信
CCTV-10科教,http://144.255.44.144:7788/rtp/239.21.1.155:5002$山东电信
CCTV-10科教,http://223.10.214.111:6000/rtp/239.1.1.17:8017$山西电信
CCTV-10科教,http://171.8.84.159:8800/rtp/239.16.20.10:10100$河南电信
CCTV-11戏曲,http://144.255.44.144:7788/rtp/239.21.2.2:5002$山东电信
CCTV-11戏曲,http://223.10.214.111:6000/rtp/239.1.1.18:8018$山西电信
CCTV-11戏曲,http://171.8.84.159:8800/rtp/239.16.20.11:10110$河南电信
CCTV-12社会与法,http://144.255.44.144:7788/rtp/239.21.1.156:5002$山东电信
CCTV-12社会与法,http://223.10.214.111:6000/rtp/239.1.1.19:8019$山西电信
CCTV-12社会与法,http://171.8.84.159:8800/rtp/239.16.20.12:10120$河南电信
CCTV-13新闻,http://144.255.44.144:7788/rtp/239.21.2.3:5002$山东电信
CCTV-13新闻,http://223.10.214.111:6000/rtp/239.1.1.20:8020$山西电信
CCTV-13新闻,http://171.8.84.159:8800/rtp/239.16.20.13:10130$河南电信
CCTV-14少儿,http://144.255.44.144:7788/rtp/239.21.1.157:5002$山东电信
CCTV-14少儿,http://223.10.214.111:6000/rtp/239.1.1.21:8021$山西电信
CCTV-14少儿,http://171.8.84.159:8800/rtp/239.16.20.14:10140$河南电信
CCTV-15音乐,http://144.255.44.144:7788/rtp/239.21.2.4:5002$山东电信
CCTV-15音乐,http://223.10.214.111:6000/rtp/239.1.1.22:8022$山西电信
CCTV-15音乐,http://171.8.84.159:8800/rtp/239.16.20.15:10150$河南电信
CCTV-16奥林匹克,http://223.10.214.111:6000/rtp/239.1.1.122:8122$山西电信
CCTV-17农业农村,http://144.255.44.144:7788/rtp/239.21.1.186:5002$山东电信
CCTV-17农业农村,http://223.10.214.111:6000/rtp/239.1.1.23:8023$山西电信
CCTV-17农业农村,http://171.8.84.159:8800/rtp/239.16.20.7:10070$河南电信
CCTV-兵器科技,http://223.10.214.111:6000/rtp/239.1.1.97:8097$山西电信
CCTV-第一剧场,http://223.10.214.111:6000/rtp/239.1.1.94:8094$山西电信
CCTV-电视指南,http://223.10.214.111:6000/rtp/239.1.1.90:8090$山西电信
CCTV-风云剧场,http://223.10.214.111:6000/rtp/239.1.1.93:8093$山西电信
CCTV-风云音乐,http://223.10.214.111:6000/rtp/239.1.1.96:8096$山西电信
CCTV-风云足球,http://223.10.214.111:6000/rtp/239.1.1.101:8101$山西电信
CCTV-高尔夫网球,http://223.10.214.111:6000/rtp/239.1.1.102:8102$山西电信
CCTV-怀旧剧场,http://223.10.214.111:6000/rtp/239.1.1.95:8095$山西电信
CCTV-女性时尚,http://223.10.214.111:6000/rtp/239.1.1.89:8089$山西电信
CCTV-世界地理,http://223.10.214.111:6000/rtp/239.1.1.99:8099$山西电信
CCTV-央视台球,http://223.10.214.111:6000/rtp/239.1.1.100:8100$山西电信
CCTV-文化精品,http://223.10.214.111:6000/rtp/239.1.1.91:8091$山西电信

卫视频道,#genre#
北京卫视,http://144.255.44.144:7788/rtp/239.21.1.88:5002$山东电信
北京卫视,http://223.10.214.111:6000/rtp/239.1.1.41:8041$山西电信
北京卫视,http://171.8.84.159:8800/rtp/239.16.20.76:10760$河南电信
湖南卫视,http://144.255.44.144:7788/rtp/239.21.1.158:5002$山东电信
湖南卫视,http://223.10.214.111:6000/rtp/239.1.1.28:8028$山西电信
湖南卫视,http://171.8.84.159:8800/rtp/239.16.20.72:10720$河南电信
深圳卫视,http://144.255.44.144:7788/rtp/239.21.1.93:5002$山东电信
深圳卫视,http://223.10.214.111:6000/rtp/239.1.1.39:8039$山西电信
深圳卫视,http://171.8.84.159:8800/rtp/239.16.20.77:10770$河南电信
江苏卫视,http://144.255.44.144:7788/rtp/239.21.1.89:5002$山东电信
江苏卫视,http://223.10.214.111:6000/rtp/239.1.1.35:8035$山西电信
江苏卫视,http://171.8.84.159:8800/rtp/239.16.20.74:10740$河南电信
东方卫视,http://144.255.44.144:7788/rtp/239.21.1.111:5002$山东电信
东方卫视,http://171.8.84.159:8800/rtp/239.16.20.73:10730$河南电信
浙江卫视,http://144.255.44.144:7788/rtp/239.21.1.90:5002$山东电信
浙江卫视,http://223.10.214.111:6000/rtp/239.1.1.38:8038$山西电信
浙江卫视,http://171.8.84.159:8800/rtp/239.16.20.71:10710$河南电信
湖北卫视,http://144.255.44.144:7788/rtp/239.21.1.163:5002$山东电信
湖北卫视,http://223.10.214.111:6000/rtp/239.1.1.32:8032$山西电信
湖北卫视,http://171.8.84.159:8800/rtp/239.16.20.87:10870$河南电信
天津卫视,http://144.255.44.144:7788/rtp/239.21.1.165:5002$山东电信
天津卫视,http://223.10.214.111:6000/rtp/239.1.1.46:8046$山西电信
天津卫视,http://171.8.84.159:8800/rtp/239.16.20.96:10960$河南电信
广东卫视,http://144.255.44.144:7788/rtp/239.21.1.92:5002$山东电信
广东卫视,http://223.10.214.111:6000/rtp/239.1.1.49:8049$山西电信
广东卫视,http://171.8.84.159:8800/rtp/239.16.20.98:10980$河南电信
山东卫视,http://144.255.44.144:7788/rtp/239.21.1.87:5002$山东电信
山东卫视,http://223.10.214.111:6000/rtp/239.1.1.47:8047$山西电信
山东卫视,http://171.8.84.159:8800/rtp/239.16.20.80:10800$河南电信
辽宁卫视,http://144.255.44.144:7788/rtp/239.21.1.164:5002$山东电信
辽宁卫视,http://223.10.214.111:6000/rtp/239.1.1.42:8042$山西电信
辽宁卫视,http://171.8.84.159:8800/rtp/239.16.20.95:10950$河南电信
安徽卫视,http://144.255.44.144:7788/rtp/239.21.1.159:5002$山东电信
安徽卫视,http://223.10.214.111:6000/rtp/239.1.1.44:8044$山西电信
安徽卫视,http://171.8.84.159:8800/rtp/239.16.20.75:10750$河南电信
河北卫视,http://144.255.44.144:7788/rtp/239.21.1.168:5002$山东电信
河北卫视,http://223.10.214.111:6000/rtp/239.1.1.48:8048$山西电信
河北卫视,http://171.8.84.159:8800/rtp/239.16.20.88:10880$河南电信
贵州卫视,http://144.255.44.144:7788/rtp/239.21.1.166:5002$山东电信
贵州卫视,http://223.10.214.111:6000/rtp/239.1.1.43:8043$山西电信
贵州卫视,http://171.8.84.159:8800/rtp/239.16.20.81:10810$河南电信
东南卫视,http://144.255.44.144:7788/rtp/239.21.1.113:5002$山东电信
东南卫视,http://223.10.214.111:6000/rtp/239.1.1.33:8033$山西电信
东南卫视,http://171.8.84.159:8800/rtp/239.16.20.82:10820$河南电信
重庆卫视,http://144.255.44.144:7788/rtp/239.21.1.233:5002$山东电信
重庆卫视,http://223.10.214.111:6000/rtp/239.1.1.36:8036$山西电信
重庆卫视,http://171.8.84.159:8800/rtp/239.16.20.79:10790$河南电信
江西卫视,http://144.255.44.144:7788/rtp/239.21.1.167:5002$山东电信
江西卫视,http://223.10.214.111:6000/rtp/239.1.1.52:8052$山西电信
江西卫视,http://171.8.84.159:8800/rtp/239.16.20.89:10890$河南电信
黑龙江卫视,http://144.255.44.144:7788/rtp/239.21.1.91:5002$山东电信
黑龙江卫视,http://223.10.214.111:6000/rtp/239.1.1.37:8037$山西电信
黑龙江卫视,http://171.8.84.159:8800/rtp/239.16.20.99:10990$河南电信
云南卫视,http://144.255.44.144:7788/rtp/239.21.2.86:5002$山东电信
云南卫视,http://223.10.214.111:6000/rtp/239.1.1.54:8054$山西电信
云南卫视,http://171.8.84.159:8800/rtp/239.16.20.85:10850$河南电信
河南卫视,http://144.255.44.144:7788/rtp/239.21.2.37:5002$山东电信
河南卫视,http://223.10.214.111:6000/rtp/239.1.1.34:8034$山西电信
河南卫视,http://171.8.84.159:8800/rtp/239.16.20.21:10210$河南电信
四川卫视,http://144.255.44.144:7788/rtp/239.21.2.15:5002$山东电信
四川卫视,http://223.10.214.111:6000/rtp/239.1.1.29:8029$山西电信
四川卫视,http://171.8.84.159:8800/rtp/239.16.20.86:10860$河南电信
广西卫视,http://144.255.44.144:7788/rtp/239.21.2.87:5002$山东电信
广西卫视,http://223.10.214.111:6000/rtp/239.1.1.40:8040$山西电信
广西卫视,http://171.8.84.159:8800/rtp/239.16.20.84:10840$河南电信
吉林卫视,http://144.255.44.144:7788/rtp/239.21.2.49:5002$山东电信
吉林卫视,http://223.10.214.111:6000/rtp/239.1.1.30:8030$山西电信
吉林卫视,http://171.8.84.159:8800/rtp/239.16.20.94:10940$河南电信
陕西卫视,http://223.10.214.111:6000/rtp/239.1.1.50:8050$山西电信
陕西卫视,http://171.8.84.159:8800/rtp/239.16.20.83:10830$河南电信
山西卫视,http://223.10.214.111:6000/rtp/239.1.1.1:8001$山西电信
内蒙古卫视,http://223.10.214.111:6000/rtp/239.1.1.60:8060$山西电信
青海卫视,http://144.255.44.144:7788/rtp/239.21.2.51:5002$山东电信
青海卫视,http://144.255.44.144:7788/rtp/239.21.2.85:5002$山东电信
青海卫视,http://223.10.214.111:6000/rtp/239.1.1.53:8053$山西电信
青海卫视,http://171.8.84.159:8800/rtp/239.16.20.101:11010$河南电信
海南卫视,http://144.255.44.144:7788/rtp/239.21.2.14:5002$山东电信
海南卫视,http://223.10.214.111:6000/rtp/239.1.1.55:8055$山西电信
海南卫视,http://171.8.84.159:8800/rtp/239.16.20.97:10970$河南电信
宁夏卫视,http://144.255.44.144:7788/rtp/239.21.2.189:5002$山东电信
宁夏卫视,http://223.10.214.111:6000/rtp/239.1.1.56:8056$山西电信
西藏卫视,http://144.255.44.144:7788/rtp/239.21.2.186:5002$山东电信
西藏卫视,http://223.10.214.111:6000/rtp/239.1.1.57:8057$山西电信
新疆卫视,http://144.255.44.144:7788/rtp/239.21.2.187:5002$山东电信
新疆卫视,http://223.10.214.111:6000/rtp/239.1.1.59:8059$山西电信
甘肃卫视,http://144.255.44.144:7788/rtp/239.21.2.22:5002$山东电信
甘肃卫视,http://223.10.214.111:6000/rtp/239.1.1.51:8051$山西电信
甘肃卫视,http://171.8.84.159:8800/rtp/239.16.20.102:11020$河南电信
厦门卫视,http://223.10.214.111:6000/rtp/239.1.1.71:8071$山西电信
兵团卫视,http://144.255.44.144:7788/rtp/239.21.2.188:5002$山东电信
兵团卫视,http://223.10.214.111:6000/rtp/239.1.1.58:8058$山西电信
三沙卫视,http://223.10.214.111:6000/rtp/239.1.1.70:8070$山西电信
农林卫视,http://223.10.214.111:6000/rtp/239.1.1.73:8073$山西电信

凤凰频道,#genre#
凤凰卫视资讯台,http://223.10.214.111:6000/rtp/239.1.1.127:8127$山西电信

4K频道,#genre#
CCTV-4K超高清,http://144.255.44.144:7788/rtp/239.21.2.152:5002$山东电信
北京卫视4K,http://144.255.44.144:7788/rtp/239.21.2.172:5002$山东电信
东方卫视4K,http://144.255.44.144:7788/rtp/239.21.2.184:5002$山东电信
广东卫视4K,http://144.255.44.144:7788/rtp/239.21.2.173:5002$山东电信
深圳卫视4K,http://144.255.44.144:7788/rtp/239.21.2.158:5002$山东电信
深圳卫视4K,http://144.255.44.144:7788/rtp/239.21.2.174:5002$山东电信
湖南卫视4K,http://144.255.44.144:7788/rtp/239.21.2.181:5002$山东电信
江苏卫视4K,http://144.255.44.144:7788/rtp/239.21.2.183:5002$山东电信
浙江卫视4K,http://144.255.44.144:7788/rtp/239.21.2.182:5002$山东电信
山东卫视4K,http://144.255.44.144:7788/rtp/239.21.2.157:5002$山东电信
山东卫视4K,http://144.255.44.144:7788/rtp/239.21.2.179:5002$山东电信
四川卫视4K,http://144.255.44.144:7788/rtp/239.21.2.185:5002$山东电信

CHC频道,#genre#
CHC动作电影,http://144.255.44.144:7788/rtp/239.21.2.128:5002$山东电信
CHC家庭影院,http://144.255.44.144:7788/rtp/239.21.2.126:5002$山东电信
CHC影迷电影,http://144.255.44.144:7788/rtp/239.21.2.127:5002$山东电信

华数频道,#genre#

数字频道,#genre#
求索纪录,http://144.255.44.144:7788/rtp/239.21.2.159:5002$山东电信
快乐垂钓,http://144.255.44.144:7788/rtp/239.21.2.97:5002$山东电信
茶频道,http://144.255.44.144:7788/rtp/239.21.2.110:5002$山东电信
汽摩,http://144.255.44.144:7788/rtp/239.21.2.142:5002$山东电信
文物宝库,http://144.255.44.144:7788/rtp/239.21.2.109:5002$山东电信
武术世界,http://144.255.44.144:7788/rtp/239.21.2.96:5002$山东电信
乐游,http://144.255.44.144:7788/rtp/239.21.2.104:5002$山东电信
生活时尚,http://144.255.44.144:7788/rtp/239.21.2.103:5002$山东电信
都市剧场,http://144.255.44.144:7788/rtp/239.21.2.90:5002$山东电信
游戏风云,http://144.255.44.144:7788/rtp/239.21.2.107:5002$山东电信
金色学堂,http://144.255.44.144:7788/rtp/239.21.2.102:5002$山东电信
动漫秀场,http://144.255.44.144:7788/rtp/239.21.2.92:5002$山东电信
卡酷少儿,http://144.255.44.144:7788/rtp/239.21.2.120:5002$山东电信
卡酷少儿,http://223.10.214.111:6000/rtp/239.1.1.62:8062$山西电信
金鹰卡通,http://144.255.44.144:7788/rtp/239.21.2.121:5002$山东电信
金鹰卡通,http://223.10.214.111:6000/rtp/239.1.1.61:8061$山西电信
优漫卡通,http://223.10.214.111:6000/rtp/239.1.1.72:8072$山西电信
哈哈炫动,http://223.10.214.111:6000/rtp/239.1.1.64:8064$山西电信
嘉佳卡通,http://223.10.214.111:6000/rtp/239.1.1.68:8068$山西电信
中国交通,http://144.255.44.144:7788/rtp/239.21.1.115:5002$山东电信
CETV-1,http://144.255.44.144:7788/rtp/239.21.2.7:5002$山东电信
CETV-1,http://223.10.214.111:6000/rtp/239.1.1.65:8065$山西电信
CETV-1,http://171.8.84.159:8800/rtp/239.16.20.78:10780$河南电信
CETV-2,http://223.10.214.111:6000/rtp/239.1.1.66:8066$山西电信
CETV-4,http://144.255.44.144:7788/rtp/239.21.2.129:5002$山东电信
CETV-4,http://223.10.214.111:6000/rtp/239.1.1.67:8067$山西电信

北京频道,#genre#

上海频道,#genre#
上海东方财经,http://223.10.214.111:6000/rtp/239.1.1.85:8085$山西电信
上海东方财经,http://171.8.84.159:8800/rtp/239.16.20.64:10640$河南电信
上海游戏风云,http://223.10.214.111:6000/rtp/239.1.1.83:8083$山西电信
上海游戏风云,http://171.8.84.159:8800/rtp/239.16.20.112:11120$河南电信
上海生活时尚,http://223.10.214.111:6000/rtp/239.1.1.76:8076$山西电信
上海生活时尚,http://171.8.84.159:8800/rtp/239.16.20.114:11140$河南电信
上海动漫秀场,http://223.10.214.111:6000/rtp/239.1.1.80:8080$山西电信
上海动漫秀场,http://171.8.84.159:8800/rtp/239.16.20.40:10400$河南电信
上海都市剧场,http://223.10.214.111:6000/rtp/239.1.1.81:8081$山西电信
上海都市剧场,http://171.8.84.159:8800/rtp/239.16.20.38:10380$河南电信
上海法治天地,http://223.10.214.111:6000/rtp/239.1.1.79:8079$山西电信
上海法治天地,http://171.8.84.159:8800/rtp/239.16.20.156:11560$河南电信
上海金色学堂,http://223.10.214.111:6000/rtp/239.1.1.82:8082$山西电信
上海金色学堂,http://171.8.84.159:8800/rtp/239.16.20.115:11150$河南电信

